hhid,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,vitb6_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg
1249-001-01,400.3289716190508,42.82194686424463,0.22776619666643932,0.11661765454327391,1.5152198261132077,0.16166439237170413,98.0857049507023,0.04670765618978266,3.15143851102298,1.392987967218938
1250-001-01,3116.635312669085,168.9114509859112,1.8127565407758586,1.1192699400160004,18.271904851956293,2.1124724511398836,606.4399243382469,8.406862187988036,23.050686303999775,14.06186315122432
1252-001-01,3620.439116914892,337.25458218889844,2.372346664856109,1.365382947363244,23.028396465201048,1.6064301804816923,604.4346918624055,12.561878011613597,26.941062814886045,18.44834326124178
1253-001-01,2280.308069911237,328.452291831577,1.2952869681771377,0.945628375931567,13.005275466579025,1.5819490047119342,482.78638664977217,8.530770528973388,21.1888335499959,11.26977308237096
1254-001-01,1888.2822537514276,222.49213471017913,1.3036902948728766,0.746726344214544,11.94132785436931,1.0581874351042373,274.8325710948822,4.499583626584178,13.431737077049593,8.820857742938395
1266-001-02,2240.7791710984957,298.53390859599943,1.2152275867385536,1.0543808165679782,17.314966909165417,2.381740288321113,391.8270620477732,25.28800027711904,27.60861077123472,16.29996591633001
1268-001-01,1463.3280209549944,173.30702055253238,0.8036343478137946,0.79095031127983,13.573401240789016,1.8632527248912685,195.2189334882276,25.854648050578685,14.29403844265368,11.716014921720493
1270-001-01,2689.4474733478937,410.87377028115196,1.4689620094218774,1.112779507075523,17.59401259059859,1.3121403878622406,447.0140280267636,6.977035923833192,21.64716102666446,12.857519180944834
1272-001-01,691.836764082512,87.75562756307184,0.5776174495446671,0.31369384332691974,4.206744212119404,0.5963632332867722,182.83072150086576,0.2666549140746307,6.887731261675516,3.56644287468436
1273-001-01,1488.5665210037346,84.7186224805702,0.858070220149014,0.5018933157603285,8.354402062990637,0.8243550709776198,214.31017079369227,6.211413063783156,10.129417786383684,7.932006461351094
1285-001-02,2142.3254181705443,111.36963727455527,0.9241152319597542,0.6665139017616315,11.86067657554305,0.582131390110564,149.82200735828167,11.858445577454054,9.86288251774238,9.160219403657269
1286-001-01,1784.2607382517529,182.7283852599409,0.9849727213845879,0.6740402821358888,8.995766147222886,1.0254281702044048,356.5161312206667,2.456958497284388,14.273735302355027,7.543281076412393
1289-001-01,778.6389431772769,42.122135501137485,0.4377870800623495,0.2407356626108502,4.063584441043643,0.4684534800926098,72.28457644607028,1.5275968680467615,4.625575117003442,3.0147386859663627
1291-001-01,2562.269019842617,176.17183088019794,1.3441659488804922,0.9935431164497872,14.624559745448492,1.1913225561716339,259.18399074433887,8.63876956519086,16.45107549010589,11.952700608576002
1294-001-01,2442.5307132839953,347.95139912802495,1.330052593271089,1.1847318521092942,15.21784394399638,0.9808213983528532,311.11445934795637,2.8935565919304658,19.98778791508443,10.304619623694862
1305-001-01,6229.356504260158,1259.0069433344715,5.033090469269391,3.835349802415416,43.86228476157659,5.007850611269974,1353.8078662685205,17.838371810499076,58.93689421625138,36.05077101978508
1306-001-01,1148.447332081723,182.75354442031224,0.7263433289840663,0.625497467919347,15.445370471861768,1.697298974331707,142.46112772019725,28.832641185115452,11.225974901876587,11.395063956400017
1307-001-01,1299.6949989159593,277.3067024286043,0.5485431393143889,0.47204548210308206,6.888658054174354,0.7448492837990047,143.28916741759207,1.3493013403620016,8.945798341084428,4.5529615428459795
1309-001-01,4801.657813128083,317.41855232275145,2.546829124287008,1.7027596152292794,25.7179600403488,2.075722478199873,661.2422892087667,2.7421332118860486,31.516067856844817,18.32816588736941
1312-001-01,2083.15604080675,264.75706541513244,1.451844678140238,0.7667615053123463,14.47574918627861,1.5504645841257851,357.4719853910256,1.2588960057476057,17.322824374730676,8.556140236716042
1323-001-01,1626.53294043904,60.691806091699924,0.741318332327285,0.5138318068919047,6.777759270808878,0.5924587846013706,157.70904353367825,0.01101422527850478,8.03893287506169,6.055977400446676
1325-001-05,3550.561249488329,649.4490215609518,2.0716999849149795,1.5643162355131845,32.17704659558014,2.4817869716978462,532.3179127753746,3.8374090921712334,33.98888094284312,16.541080142693083
1328-001-01,1267.0121046697109,141.2663590680989,0.9455077039916521,0.5385141636007656,7.0233800319294515,1.0547557799395495,275.9754674256195,0,12.769926854325568,5.450774674252382
1329-001-01,210.32487113109931,25.232966581152713,0.07090805414245704,0.0637023802917698,0.9015409892697883,0.04114349436447926,21.736392296715593,0.005644604207971065,1.2916882590426684,0.5696579845383299
1331-001-01,1888.2747851277086,227.2904692143484,1.1632845482776117,0.7017423845467885,12.659185379881821,1.1180727449230514,256.17237905206514,4.322993178202985,12.081077129009293,7.878296751940026
1332-001-01,1454.4366823970354,192.49496594512433,0.9714130421403006,0.8023619325108954,9.272383990481142,1.0417173495967476,299.09108892858353,0.49738765449608846,13.647381796619035,5.933421149970715
1333-001-01,2066.04264831174,117.38245606240663,1.1447054672984702,0.651167536261257,9.44130990602964,1.0365502239898583,335.0393967107724,4.083816333977172,13.063888585703625,8.388516570452445
1342-001-01,1623.1177978821463,133.75330362090128,0.9637783897271895,0.5897198489646656,12.700110229603467,1.5758955226725089,143.5174546609336,15.143774147491872,10.922053059157154,8.979740856356921
1344-001-01,2054.3594258395487,205.3687890025605,1.0624779963368056,0.6196956762446345,9.554751605412338,0.8226491840051606,274.3761329993576,0.9212362793021187,18.129279141155273,7.885044869115233
1345-001-01,1680.4391623719432,181.70776246931703,1.1767024931086958,0.6569368465729626,12.464890474079365,0.8894909600212361,300.41608294305104,8.582062735566772,19.63023793691224,9.809131062862438
1346-001-01,2476.1297263831984,353.92963915747083,1.5070376016161,1.055074516425174,13.75386687484288,1.3417753685740959,409.9554050866869,4.8851452791007794,18.350254682479868,10.7677462612314
1347-001-01,402.17591903565585,84.10681384470864,0.16488723977091801,0.19709893991167735,3.2847832182588577,0.20153139440444293,49.6428805468044,0.8017804825556729,3.5647905992984854,2.1630191595297448
